simFolder,doGraphs,numRepeats,numScenarios,numPolicies
2021_10_16-20_24_57,0,1,1,1
2021_10_16-20_26_39,0,1,1,1
2021_10_16-20_27_34,0,1,1,1
2021_10_16-20_29_09,0,1,1,1
2021_10_16-20_32_09,0,1,1,1
2021_10_16-20_34_54,0,1,1,1
2021_10_16-20_36_57,0,1,1,1
2021_10_16-20_40_19,0,1,1,1
2021_10_16-20_40_52,0,1,1,1
2021_10_16-20_41_11,0,1,1,1
2021_10_16-21_26_11,0,1,1,1
2021_10_16-21_34_56,0,1,1,1
2021_10_16-21_46_46,0,1,1,1
2021_10_18-23_28_19,0,1,1,1
2021_10_19-17_51_52,0,1,1,1
2021_10_19-18_02_09,0,1,1,1
2021_10_21-10_24_58,0,1,1,1
2021_10_21-10_29_11,0,1,1,1
2021_10_21-11_07_01,0,1,1,1
2021_10_22-22_58_13,0,1,1,1
2021_10_22-23_01_34,0,1,1,1
2021_10_22-23_03_23,0,1,1,1
2021_10_22-23_13_39,0,1,1,1
2021_10_22-23_16_28,0,1,1,1
2021_10_23-09_15_22,0,1,1,1
2021_10_23-09_16_18,0,1,1,1
2021_10_23-10_01_45,0,1,1,1
2021_10_23-11_38_09,0,1,1,1
2021_10_23-11_40_36,0,1,1,1
2021_10_23-12_16_25,0,1,1,1
2021_10_23-15_12_02,0,1,1,1
2021_10_23-16_16_02,0,1,1,1
2021_10_23-16_18_58,0,1,1,1
2021_10_23-16_19_30,0,1,1,1
2021_10_23-18_57_11,0,1,1,1
2021_10_23-19_08_52,0,1,1,1
2021_10_23-19_14_56,0,1,1,1
2021_10_23-20_26_44,0,1,1,1
2021_10_23-21_08_13,0,1,1,1
2021_10_23-21_09_04,0,1,1,1
2021_10_24-00_02_25,0,1,1,1
2021_10_24-10_48_30,0,1,1,1
2021_10_24-11_25_35,0,1,1,1
2021_10_24-15_28_55,0,1,1,1
2021_10_24-15_45_28,0,1,1,1
2021_10_26-12_36_43,0,1,1,1
2021_10_26-12_37_50,0,1,1,1
2021_10_26-12_38_48,0,1,1,1
2021_10_26-12_39_21,0,1,1,1
2021_10_26-12_41_00,0,1,1,1
2021_10_26-12_44_22,0,1,1,1
2021_10_26-14_18_19,0,1,1,1
2021_10_26-14_27_49,0,1,1,1
2021_10_26-14_31_59,0,1,1,1
2021_10_26-17_39_26,0,1,1,1
2021_10_26-17_40_06,0,1,1,1
2021_10_26-18_21_57,0,1,1,1
2021_10_26-22_03_25,0,1,1,1
2021_10_26-22_07_33,0,1,1,1
2021_10_26-22_09_05,0,1,1,1
2021_10_27-08_17_52,0,1,1,1
2021_10_27-10_43_18,0,1,1,1
2021_10_27-18_47_05,0,1,1,1
2021_10_27-18_55_56,0,1,1,1
2021_10_27-18_58_46,0,1,1,1
2021_10_27-18_59_25,0,1,1,1
2021_10_27-19_00_25,0,1,1,1
2021_10_27-19_03_51,0,1,1,1
2021_10_27-19_04_55,0,1,1,1
2021_10_27-19_08_59,0,1,1,1
2021_10_27-19_11_52,0,1,1,1
2021_10_29-22_14_36,0,1,1,1
2021_10_29-22_22_03,0,1,1,1
2021_10_29-22_26_03,0,1,1,1
2021_10_29-22_26_50,0,1,1,1
2021_11_02-11_22_02,0,1,1,1
2021_11_02-11_27_37,0,1,1,1
2021_11_02-13_09_01,0,1,1,1
2021_11_02-15_48_25,0,1,1,1
2021_11_02-15_52_48,0,1,1,1
2021_11_02-15_55_22,0,1,1,1
2021_11_02-15_57_00,0,1,1,1
2021_11_02-15_59_35,0,1,1,1
2021_11_03-18_57_36,0,1,1,1
2021_11_03-22_44_17,0,1,1,1
2021_11_03-22_46_35,0,1,1,1
2021_11_03-22_50_44,0,1,1,1
2021_11_03-22_52_16,0,1,1,1
2021_11_03-22_53_41,0,1,1,1
2021_11_03-22_55_18,0,1,1,1
2021_11_03-22_56_03,0,1,1,1
2021_11_03-22_59_44,0,1,1,1
2021_11_03-23_22_47,0,1,1,1
2021_11_03-23_25_21,0,1,1,1
2021_11_03-23_31_20,0,1,1,1
2021_11_03-23_59_46,0,1,1,1
2021_11_04-00_04_35,0,1,1,1
2021_11_04-00_08_00,0,1,1,1
2021_11_04-00_13_09,0,1,1,1
2021_11_04-00_21_27,0,1,1,1
2021_11_04-00_23_58,0,1,1,1
2021_11_04-00_26_36,0,1,1,1
2021_11_04-00_27_51,0,1,1,1
2021_11_04-00_28_46,0,1,1,1
2021_11_04-00_31_47,0,1,1,1
2021_11_04-00_33_32,0,1,1,1
2021_11_04-00_39_36,0,1,1,1
2021_11_04-00_40_31,0,1,1,1
2021_11_04-23_10_03,0,1,1,1
2021_11_04-23_11_36,0,1,1,1
2021_11_04-23_16_32,0,1,1,1
2021_11_04-23_42_46,0,1,1,1
2021_11_04-23_46_49,0,1,1,1
2021_11_05-00_03_15,0,1,1,1
2021_11_05-00_06_35,0,1,1,1
2021_11_05-00_18_48,0,1,1,1
2021_11_05-00_30_01,0,1,1,1
2021_11_05-00_33_26,0,1,1,1
2021_11_05-00_40_30,0,1,1,1
2021_11_05-00_42_28,0,1,1,1
2021_11_05-10_34_55,0,1,1,1
2021_11_05-10_36_52,0,1,1,1
2021_11_05-10_42_18,0,1,1,1
2021_11_05-10_50_58,0,1,1,1
2021_11_05-10_53_36,0,1,1,1
2021_11_05-11_00_54,0,1,1,1
2021_11_05-11_06_29,0,1,1,1
2021_11_05-12_17_16,0,1,1,1
2021_11_05-12_20_20,0,1,1,1
2021_11_05-12_23_57,0,1,1,1
2021_11_05-12_28_09,0,1,1,1
2021_11_05-12_32_36,0,1,1,1
2021_11_05-12_35_36,0,1,1,1
2021_11_05-12_39_27,0,1,1,1
2021_11_05-12_42_15,0,1,1,1
2021_11_05-12_43_36,0,1,1,1
2021_11_05-12_48_12,0,1,1,1
2021_11_05-14_19_29,0,1,1,1
2021_11_05-16_18_47,0,1,1,1
2021_11_05-16_22_33,0,1,1,1
2021_11_05-16_42_47,0,1,1,1
2021_11_05-17_44_25,0,1,1,1
2021_11_05-17_58_03,0,1,1,1
2021_11_05-19_25_58,0,1,1,1
2021_11_05-19_27_48,0,1,1,1
2021_11_05-22_53_52,0,1,1,1
2021_11_05-22_55_50,0,1,1,1
2021_11_05-22_57_54,0,1,1,1
2021_11_05-23_00_00,0,1,1,1
2021_11_05-23_01_57,0,1,1,1
2021_11_05-23_08_13,0,1,1,1
2021_11_05-23_14_26,0,1,1,1
2021_11_05-23_16_38,0,1,1,1
2021_11_05-23_19_24,0,1,1,1
2021_11_05-23_21_40,0,1,1,1
2021_11_05-23_24_55,0,1,1,1
2021_11_05-23_32_01,0,1,1,1
2021_11_05-23_32_39,0,1,1,1
2021_11_05-23_42_10,0,1,1,1
2021_11_05-23_43_43,0,1,1,1
2021_11_06-11_45_06,0,1,1,1
2021_11_06-11_46_54,0,1,1,1
2021_11_06-11_49_25,0,1,1,1
2021_11_06-11_57_20,0,1,1,1
2021_11_06-12_02_31,0,1,1,1
2021_11_06-12_05_08,0,1,1,1
2021_11_06-12_07_29,0,1,1,1
2021_11_06-12_08_56,0,1,1,1
2021_11_06-12_10_16,0,1,1,1
2021_11_06-12_11_10,0,1,1,1
2021_11_06-12_16_39,0,1,1,1
2021_11_06-12_32_59,0,1,1,1
2021_11_06-12_37_19,0,1,1,1
2021_11_06-12_38_38,0,1,1,1
2021_11_06-12_51_36,0,1,1,1
2021_11_06-15_21_58,0,1,1,1
2021_11_06-15_24_00,0,1,1,1
2021_11_06-15_25_20,0,1,1,1
2021_11_06-15_29_06,0,1,1,1
2021_11_06-15_30_57,0,1,1,1
2021_11_06-15_32_57,0,1,1,1
2021_11_06-15_41_00,0,1,1,1
2021_11_06-15_43_40,0,1,1,1
2021_11_06-15_46_13,0,1,1,1
2021_11_06-16_14_11,0,1,1,1
2021_11_06-16_19_14,0,1,1,1
2021_11_06-16_32_59,0,1,1,1
2021_11_06-16_49_59,0,1,1,1
2021_11_06-16_51_53,0,1,1,1
2021_11_06-16_57_54,0,1,1,1
2021_11_06-17_13_01,0,1,1,1
2021_11_06-18_01_49,0,1,1,1
2021_11_06-18_07_24,0,1,1,1
2021_11_06-18_10_41,0,1,1,1
2021_11_06-18_14_24,0,1,1,1
2021_11_06-18_19_45,0,1,1,1
2021_11_06-18_23_26,0,1,1,1
2021_11_06-19_19_59,0,1,1,1
2021_11_06-19_21_58,0,1,1,1
2021_11_06-19_37_20,0,1,1,1
2021_11_06-19_43_23,0,1,1,1
2021_11_06-19_45_23,0,1,1,1
2021_11_06-19_48_42,0,1,1,1
2021_11_06-20_01_39,0,1,1,1
2021_11_06-20_09_47,0,1,1,1
2021_11_06-20_19_43,0,1,1,1
2021_11_06-20_26_50,0,1,1,1
2021_11_06-20_58_45,0,1,1,1
2021_11_07-00_04_40,0,1,1,1
2021_11_07-00_08_50,0,1,1,1
2021_11_07-00_12_03,0,1,1,1
2021_11_07-00_52_28,0,1,1,1
2021_11_07-01_02_30,0,1,1,1
2021_11_07-01_26_17,0,1,1,1
2021_11_07-01_27_45,0,1,1,1
2021_11_07-01_28_45,0,1,1,1
2021_11_07-01_33_04,0,1,1,1
2021_11_07-01_33_31,0,1,1,1
2021_11_07-01_34_53,0,1,1,1
2021_11_07-01_37_05,0,1,1,1
2021_11_07-01_38_14,0,1,1,1
2021_11_07-01_44_11,0,1,1,1
2021_11_07-01_51_40,0,1,1,1
2021_11_07-01_53_49,0,1,1,1
2021_11_07-01_55_49,0,1,1,1
2021_11_07-01_57_29,0,1,1,1
2021_11_07-09_45_35,0,1,1,1
2021_11_07-09_49_45,0,1,1,1
2021_11_07-09_58_07,0,1,1,1
2021_11_07-09_59_56,0,1,1,1
2021_11_18-17_22_26,0,1,1,1
2021_11_18-17_25_48,0,1,1,1
2021_11_18-17_27_59,0,1,1,1
2021_11_18-17_37_00,0,1,1,1
2021_11_18-17_39_40,0,1,1,1
2021_11_18-17_45_43,0,1,1,1
2021_11_18-17_51_33,0,1,1,1
2021_11_18-17_54_48,0,1,1,1
